"id","amit_wording","cards_original_1","cards_original_2","cards_original_3","cards_original_4","cards_original_5","cards_original_6","cards_original_7","cards_original_8","cards_original_9","cards_original_10","cards_original_11","cards_original_12","cards_original_13","cards_original_14","cards_new_wording_1","cards_new_wording_2","cards_new_wording_3","cards_new_wording_4","cards_new_wording_5","cards_new_wording_6","cards_new_wording_7","cards_new_wording_8","cards_new_wording_9","cards_new_wording_10","cards_new_wording_11","cards_new_wording_12","cards_new_wording_13","cards_new_wording_14","attention_check","manipulation_check_1","manipulation_check_2","manipulation_check_3","manipulation_check_4","manipulation_check_5","manipulation_check_6","manipulation_check_7","manipulation_check_8","manipulation_check_9","manipulation_check_10","manipulation_check_11","manipulation_check_12","manipulation_check_13","manipulation_check_14","BIF_1","BIF_2","BIF_3","BIF_4","BIF_5","BIF_6","BIF_7","BIF_8","BIF_9","BIF_10","BIF_11","BIF_12","BIF_13","BIF_14","BIF_15","BIF_16","BIF_17","BIF_18","BIF_19","BIF_20","BIF_21","BIF_22","BIF_23","BIF_24","BIF_25","comf_acquaint","comf_close","approp_acquaint","approp_close","TIPI_1","TIPI_2","TIPI_3","TIPI_4","TIPI_5","TIPI_6","TIPI_7","TIPI_8","TIPI_9","TIPI_10"
"R_27d17rcX7hftSB3","new","","","","","","","","","","","","","","","P","P","T","T","T","T","T","T","T","P","P","P","P","T","1","7","7","5","2","1","1","1","1","1","4","5","5","4","2","2","2","2","2","2","1","1","1","2","1","2","1","1","2","2","2","2","1","2","1","1","1","2","2","2","8","2","8","6","3","5","2","5","3","4","3","5","3","5"
"R_2wHJYP57XYQkuzP","new","","","","","","","","","","","","","","","T","P","P","T","P","P","T","P","T","T","P","P","T","T","1","6","7","5","2","4","6","2","7","2","3","5","6","4","3","2","2","1","1","2","1","2","2","2","1","2","2","1","2","2","2","2","1","2","2","1","1","2","1","1","2","2","4","5","1","6","3","6","4","7","6","6","6","5"
"R_2an0XhXnSQ18Ek8","original","T","T","T","P","P","T","P","P","P","P","T","T","T","P","","","","","","","","","","","","","","","1","7","5","6","4","3","5","1","3","2","5","3","5","5","2","1","1","2","1","1","1","2","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","2","1","2","4","8","7","8","2","4","3","6","5","7","6","6","2","7"
"R_BxGFUDtez6irjEJ","original","T","T","T","P","P","T","P","P","P","P","T","T","P","P","","","","","","","","","","","","","","","1","3","4","4","2","2","4","1","4","1","3","5","5","4","2","1","2","1","1","1","1","1","2","1","1","2","2","1","2","1","2","1","2","2","2","1","2","2","1","1","4","7","3","8","4","3","4","3","5","4","5","5","5","4"
"R_2sX54KGvZE8sD3y","new","","","","","","","","","","","","","","","T","T","T","P","P","T","P","P","T","P","T","P","T","P","1","3","4","3","5","7","4","7","6","7","4","2","3","5","7","1","2","2","2","2","1","1","2","1","2","1","2","1","2","1","2","2","2","2","1","2","2","2","1","1","4","8","5","8","3","4","6","2","5","5","6","3","7","4"
"R_2UYmoQpR4TeRzLX","original","T","T","T","P","T","T","P","P","T","T","T","P","P","P","","","","","","","","","","","","","","","1","5","6","5","2","3","5","1","3","1","3","4","4","3","1","2","2","1","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","1","2","2","1","2","2","2","4","8","4","8","4","5","6","6","6","4","5","5","4","1"
"R_OPwuagEnLcEpXt7","new","","","","","","","","","","","","","","","P","T","T","P","P","T","P","P","P","P","T","T","P","P","1","5","3","3","5","5","2","7","5","5","4","3","3","5","7","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","5","7","4","7","4","4","5","6","6","6","6","2","4","4"
"R_5748EzeWcAO5KGl","new","","","","","","","","","","","","","","","T","P","T","P","T","T","P","P","T","P","T","P","T","P","1","6","4","5","3","4","6","1","3","1","3","3","5","5","2","2","1","1","2","1","2","2","2","1","1","1","2","1","2","2","2","1","2","2","1","1","2","2","2","1","4","8","5","7","2","6","3","6","7","6","3","5","2","5"
"R_URs0ZAAeyTVqG9X","new","","","","","","","","","","","","","","","P","P","P","T","P","P","T","T","P","T","P","P","P","T","1","5","3","4","4","5","2","7","6","7","5","5","2","3","6","1","1","1","1","2","2","1","1","1","1","1","2","1","2","1","2","1","1","2","1","1","1","2","2","1","2","5","3","7","2","2","7","1","6","2","5","5","7","2"
"R_1gTm6SiCAJNNffX","new","","","","","","","","","","","","","","","T","P","P","T","T","P","T","P","T","T","P","P","P","T","1","6","5","5","2","5","7","1","4","1","2","6","7","4","1","2","1","1","2","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","1","6","8","6","8","5","1","6","2","7","6","7","7","6","1"
"R_b8Ykb204P6uK2oF","original","T","P","P","T","P","T","P","P","T","P","T","P","P","P","","","","","","","","","","","","","","","1","6","5","4","4","3","5","2","3","1","3","4","5","4","2","1","1","1","1","2","2","1","1","1","2","2","2","1","1","1","1","2","1","1","1","1","1","1","1","1","3","5","3","5","2","5","6","4","4","6","5","1","7","4"
"R_2rCHxh2Yt0GvOdY","original","T","T","T","P","P","T","P","P","P","P","P","T","T","P","","","","","","","","","","","","","","","1","6","7","5","3","2","7","1","3","1","2","3","7","4","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","1","1","2","1","2","1","2","1","2","3","8","4","8","5","4","7","1","3","6","3","2","6","6"
"R_1hEURyiiCgPMhDj","new","","","","","","","","","","","","","","","P","P","T","T","T","P","T","T","T","T","T","P","T","T","1","4","5","5","3","2","5","1","3","1","3","3","5","4","2","1","2","2","2","1","1","2","2","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","5","7","5","8","2","3","5","4","5","6","3","4","5","3"
"R_2SvHVwVYkSIMpS1","original","T","T","P","P","P","T","P","P","P","P","T","T","P","P","","","","","","","","","","","","","","","1","4","6","5","3","2","7","1","2","1","2","6","7","5","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","8","5","8","3","1","7","1","6","2","7","1","7","4"
"R_2rpEAQJHzJZdrxA","new","","","","","","","","","","","","","","","P","T","P","T","P","P","T","P","T","T","P","P","P","T","1","7","7","6","3","3","6","1","5","2","2","5","6","3","2","2","1","2","2","1","1","1","2","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","5","8","5","8","1","5","6","6","4","6","4","3","3","5"
"R_2rU708MyAMlg75G","new","","","","","","","","","","","","","","","P","P","P","P","P","P","T","P","T","P","P","P","P","T","1","6","5","6","5","4","6","1","3","1","2","5","6","4","2","2","1","1","2","1","2","1","2","1","1","2","2","1","2","1","2","2","1","2","1","1","1","2","1","1","5","8","6","8","6","3","7","5","7","4","6","2","6","4"
"R_2uUn4mgcyL6bcmM","original","P","P","P","T","T","P","T","P","T","T","P","P","P","T","","","","","","","","","","","","","","","1","4","2","2","4","6","3","7","3","5","2","3","1","3","6","1","1","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","7","7","7","7","6","4","4","6","4","5","3","4","3","6"
"R_2qaUfzws1oKr0ej","new","","","","","","","","","","","","","","","T","T","T","P","P","P","P","P","T","P","P","P","P","P","1","5","6","6","2","3","3","1","6","2","4","7","5","4","2","1","1","1","2","2","2","1","2","1","2","2","2","1","2","2","2","2","2","1","2","2","2","2","2","2","8","8","8","8","7","5","5","4","5","2","5","2","4","6"
"R_3mn3Lj5amJPeAsX","original","T","T","T","P","P","T","P","P","P","P","P","T","T","P","","","","","","","","","","","","","","","1","5","6","6","4","3","7","1","5","1","4","3","7","5","2","2","2","2","2","2","2","1","2","1","1","1","2","1","2","2","2","2","2","2","2","1","1","2","1","1","4","7","5","7","5","6","6","4","5","7","2","2","5","2"
"R_USDvmeFIWhNVk1X","new","","","","","","","","","","","","","","","P","P","T","P","P","P","P","P","P","P","T","P","T","P","2","5","5","6","4","2","5","1","6","1","1","3","4","3","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","8","5","8","7","5","7","4","6","2","6","2","6","1"
"R_2Ve7ol7tVXZlKt6","original","T","P","P","P","P","P","T","P","T","P","T","T","T","P","","","","","","","","","","","","","","","1","5","5","6","3","3","7","1","3","1","5","4","6","3","1","2","1","1","2","1","2","1","2","1","2","2","1","1","2","2","2","1","1","2","1","1","1","2","1","1","5","8","3","8","3","2","6","4","5","5","6","3","5","3"
"R_bdAiggbGOjMd8HL","new","","","","","","","","","","","","","","","P","T","P","T","T","P","T","P","P","P","P","P","T","T","1","7","6","6","4","4","7","1","4","2","3","4","7","4","2","1","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","2","2","1","2","2","1","3","5","4","5","1","7","6","6","7","7","5","5","4","1"
"R_3imO44EQGgA1YKR","new","","","","","","","","","","","","","","","T","T","T","P","P","T","P","P","P","P","T","T","P","P","1","4","2","3","7","7","4","7","5","6","4","4","4","5","7","1","2","2","2","2","2","1","2","1","1","1","1","1","2","1","2","2","1","2","1","2","1","1","1","2","3","8","3","7","6","5","3","3","3","6","6","6","6","3"
"R_1rkvoyNr2G8aDQU","new","","","","","","","","","","","","","","","T","P","P","P","T","T","T","T","P","P","P","P","T","T","1","5","5","7","4","6","6","2","4","2","5","5","5","5","3","1","1","1","2","2","2","2","1","1","1","2","1","1","2","2","2","2","2","1","2","1","1","2","1","1","7","7","8","8","6","2","2","7","6","4","4","6","2","2"
"R_1liB9QRkdDKemNZ","original","P","T","T","P","T","T","P","P","P","T","P","T","T","T","","","","","","","","","","","","","","","2","2","3","4","6","5","4","6","3","5","2","4","3","3","5","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","2","1","2","1","2","1","1","1","1","5","6","4","6","6","5","5","5","4","6","5","2","6","7"
"R_28AiTHk6jEqXSEP","original","P","T","T","P","P","T","P","P","P","P","T","T","P","P","","","","","","","","","","","","","","","1","7","7","7","6","6","6","2","6","3","6","7","7","5","4","1","1","1","1","2","2","2","1","1","1","2","1","1","2","1","2","2","1","1","2","2","2","2","1","1","5","8","5","5","1","5","3","6","5","6","7","7","2","5"
"R_3KUS6ggapyBNez3","original","T","T","T","T","T","T","T","T","T","T","T","T","T","T","","","","","","","","","","","","","","","1","7","7","6","5","4","7","2","4","2","2","5","6","4","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","2","2","2","2","2","2","3","4","3","4","4","3","6","5","6","5","6","3","6","4"
"R_31YoSproACOLaKV","new","","","","","","","","","","","","","","","P","T","P","P","P","P","P","P","P","P","P","P","T","P","1","4","2","3","5","6","3","7","6","7","6","5","2","4","6","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","2","2","1","1","2","2","2","2","2","2","4","8","4","8","5","2","5","3","6","5","6","3","6","2"
"R_1eshoM7RKL3a64a","original","P","P","P","T","T","P","T","T","T","T","P","P","P","T","","","","","","","","","","","","","","","1","6","6","6","4","4","7","2","4","1","3","5","6","6","2","1","2","2","2","1","1","1","1","1","1","1","2","1","2","2","1","1","1","2","1","1","1","1","1","1","5","7","4","6","3","3","4","2","5","5","5","4","5","3"
"R_1KqiPgwSfXP2YIr","original","P","P","P","T","T","T","T","P","P","T","P","P","P","T","","","","","","","","","","","","","","","1","7","5","5","3","2","6","1","3","1","3","4","5","4","1","2","2","2","2","1","1","1","2","1","2","2","2","2","1","2","2","1","1","2","2","2","1","2","1","1","7","8","7","8","2","3","3","6","7","5","7","6","7","1"
"R_1InibXxlFb1inn2","original","T","T","T","P","P","P","P","P","P","P","P","P","P","P","","","","","","","","","","","","","","","1","6","7","4","3","2","5","2","3","1","1","2","5","5","2","1","1","1","2","1","2","1","2","1","1","1","2","1","2","1","1","2","1","2","2","1","1","2","1","1","2","5","3","6","3","4","5","2","5","6","5","3","4","2"
"R_1NZh9eKpm5cxdxD","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","P","T","P","P","P","T","1","6","7","6","5","1","6","1","3","2","3","7","6","4","1","2","1","2","2","2","1","2","2","1","2","1","2","1","1","2","2","2","1","2","1","2","1","2","1","2","3","7","3","7","2","3","4","5","4","6","6","3","4","4"
"R_vSopujF95gankD7","original","T","T","T","P","P","T","P","P","P","P","T","T","P","P","","","","","","","","","","","","","","","1","5","6","6","2","1","6","1","1","1","3","3","4","3","1","1","1","1","2","2","1","2","1","1","2","1","2","1","2","1","2","2","1","2","2","2","2","2","1","2","4","8","4","8","4","5","5","7","6","4","6","7","2","5"
"R_2uvWh95FTeTofQm","original","P","P","P","T","P","P","T","P","P","P","P","P","P","T","","","","","","","","","","","","","","","1","3","7","5","2","7","6","1","6","5","7","7","7","4","2","1","2","1","2","1","1","1","1","1","1","1","2","1","2","2","1","2","1","1","1","2","1","2","1","1","4","8","5","6","5","4","4","5","5","4","4","2","4","2"
"R_3HGGzEgLYnCE6zv","new","","","","","","","","","","","","","","","T","T","P","P","P","T","P","P","P","P","T","P","P","P","1","3","3","5","7","6","4","7","5","7","5","3","4","6","6","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","5","6","4","6","3","4","5","4","5","4","6","4","3","3"
"R_3LcF09I4QSYU9En","original","T","T","P","P","P","T","P","P","P","P","T","P","T","P","","","","","","","","","","","","","","","1","5","5","6","3","2","7","1","3","1","2","6","6","3","2","2","1","1","1","2","2","1","2","1","1","2","2","1","2","1","2","2","1","2","1","1","1","2","1","1","4","8","5","8","6","3","5","5","6","5","6","2","5","2"
"R_24NVaIEoTCKc8OA","original","T","T","T","T","T","T","T","T","T","T","T","T","T","T","","","","","","","","","","","","","","","1","7","4","6","3","6","7","1","6","2","5","7","7","3","1","2","1","2","2","2","2","1","2","1","1","2","2","1","2","1","1","2","2","2","1","2","1","2","2","2","2","8","5","8","6","1","6","5","7","4","7","5","4","3"
"R_2CcZzC8QRT5ZXNc","new","","","","","","","","","","","","","","","P","P","T","P","P","P","P","P","P","P","P","P","T","P","1","6","6","6","4","2","4","1","3","2","4","5","5","3","1","2","2","1","2","2","1","2","2","1","1","2","1","1","2","2","1","2","2","1","1","1","2","2","1","2","5","6","6","6","5","5","5","2","5","5","5","2","6","4"
"R_1LOMhUcUNW6dcY7","original","T","T","T","P","P","T","P","P","P","P","T","P","P","P","","","","","","","","","","","","","","","1","6","6","4","1","2","5","1","3","2","5","6","5","4","2","2","1","2","2","2","2","1","1","1","1","2","2","1","1","2","2","2","2","2","1","2","2","2","2","2","4","8","5","8","2","5","3","6","5","5","5","2","3","6"
"R_2V3cccaQ0gEJvJZ","original","T","T","T","P","P","T","P","T","P","P","T","T","T","P","","","","","","","","","","","","","","","1","6","5","4","1","3","6","1","4","2","3","4","5","4","2","1","1","1","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","4","8","6","8","2","2","5","5","5","6","6","3","4","3"
"R_2TNw2F6As9GYlIY","new","","","","","","","","","","","","","","","T","T","P","P","P","T","P","P","T","T","T","P","P","P","1","5","7","7","4","5","6","1","4","1","4","6","6","6","2","2","1","1","2","2","1","1","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","3","7","3","7","6","4","5","2","6","4","5","1","4","2"
"R_2aEyke1uvGhELp8","original","P","T","T","P","P","T","P","P","P","P","T","P","T","P","","","","","","","","","","","","","","","1","3","4","4","2","2","4","1","1","1","2","4","4","3","1","2","1","1","2","2","1","2","1","1","1","1","2","1","1","1","2","2","1","2","1","2","1","1","1","1","4","8","4","8","3","5","5","6","7","5","6","1","2","3"
"R_3hiiViFhTEhRbfM","original","T","T","P","P","P","T","P","P","P","T","T","T","P","P","","","","","","","","","","","","","","","1","7","4","4","3","3","7","1","2","1","3","6","7","4","2","2","1","2","2","1","1","1","2","2","2","2","2","1","2","2","2","2","1","1","1","2","1","2","2","2","4","6","4","8","3","5","6","1","7","6","5","2","6","4"
"R_3k53tvMubVPw7cS","original","P","P","P","P","T","T","P","T","T","T","T","T","T","T","","","","","","","","","","","","","","","1","5","5","5","3","2","5","1","4","2","1","2","4","4","1","2","2","2","2","1","2","2","2","2","2","2","2","1","2","1","2","2","2","2","2","1","1","1","2","2","6","6","7","6","6","4","5","5","6","5","6","2","5","3"
"R_2ZULChMi2ps5pA6","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","T","T","P","P","P","T","1","5","7","7","2","1","7","1","3","1","2","5","7","7","1","1","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","5","8","4","8","6","3","7","5","6","1","7","1","5","5"
"R_2CreEtvCBHmXENQ","original","T","T","T","P","T","T","P","T","P","P","T","T","T","P","","","","","","","","","","","","","","","1","7","3","7","2","4","7","1","4","1","2","6","6","5","4","1","2","1","1","1","2","1","2","1","1","1","2","1","2","1","1","2","1","2","1","1","1","1","1","1","8","7","5","7","5","7","4","5","6","2","6","4","2","4"
"R_29sRHGreBRWuaqZ","original","P","P","P","T","P","P","T","P","P","P","P","P","P","T","","","","","","","","","","","","","","","1","7","7","6","4","7","7","3","7","5","7","7","7","5","3","2","1","1","1","1","1","1","2","2","2","1","2","1","1","2","2","1","1","1","1","1","1","1","2","1","2","4","5","5","2","6","5","6","5","6","4","6","3","4"
"R_1rCAR5PVzLYiA8a","new","","","","","","","","","","","","","","","T","T","T","P","P","T","P","T","P","P","T","T","T","P","1","7","5","5","4","3","4","1","3","1","4","5","4","3","2","2","2","2","2","1","2","1","1","1","1","2","2","1","2","2","2","2","2","2","1","1","1","2","1","1","4","8","6","8","5","3","3","5","6","2","6","5","3","5"
"R_22E2E90OxK5dJQA","original","T","T","T","P","P","T","P","T","P","P","P","T","T","P","","","","","","","","","","","","","","","1","6","7","5","5","1","5","1","4","1","4","3","4","4","2","1","2","2","2","2","1","2","2","1","2","2","2","2","1","2","2","2","2","2","1","2","2","2","2","1","5","7","5","6","4","7","4","6","6","7","7","2","6","1"
"R_3PoszTKtF24QIpI","new","","","","","","","","","","","","","","","P","T","T","P","P","T","P","P","P","P","T","T","T","P","1","4","5","5","3","2","5","1","3","1","3","4","6","6","3","1","2","1","2","2","2","1","2","1","1","2","2","1","2","2","1","1","2","1","2","1","1","2","1","2","4","6","3","5","3","3","4","4","5","5","4","2","4","5"
"R_24tPBPx5dMzdXog","new","","","","","","","","","","","","","","","T","T","T","P","P","T","P","P","T","P","T","T","P","P","1","3","2","2","6","6","3","7","5","7","5","4","3","5","7","2","2","2","2","2","1","1","2","1","1","1","2","1","2","2","1","2","1","2","1","1","2","2","2","2","7","8","5","7","5","6","4","4","6","5","4","5","6","4"
"R_2YhURZYEu9tRexi","new","","","","","","","","","","","","","","","P","T","T","P","P","T","P","P","P","P","T","T","P","P","1","4","5","4","1","2","6","1","3","1","2","5","7","4","2","2","1","2","2","2","1","1","2","2","1","2","2","1","2","2","2","2","2","1","2","2","1","2","2","2","5","7","4","7","3","6","2","6","5","6","6","1","3","2"
"R_XLiRjaFOp0B3A9X","new","","","","","","","","","","","","","","","T","T","T","P","P","T","P","P","P","P","T","T","P","P","1","6","7","7","3","6","7","1","1","1","3","5","7","3","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","8","3","7","3","5","6","5","2","2","7","2","6","4"
"R_1cYwSz0QBeU4siQ","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","T","P","P","P","P","T","1","6","7","5","5","7","7","1","3","1","5","6","7","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","1","1","1","1","1","2","8","5","8","2","6","7","7","3","2","6","5","1","3"
"R_1ltqvdXaXxcQjFN","original","T","T","T","T","T","T","T","T","T","T","T","T","T","T","","","","","","","","","","","","","","","1","7","7","7","2","5","7","2","2","1","3","7","7","5","3","2","1","2","2","2","1","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","2","2","2","2","3","8","4","8","6","5","6","3","7","5","7","1","5","2"
"R_1KuUz8i3AlJNfun","original","P","P","P","T","T","P","T","T","T","T","T","P","P","T","","","","","","","","","","","","","","","1","7","5","6","2","1","5","1","2","1","1","6","7","5","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","3","8","5","8","7","6","6","6","6","6","7","3","4","3"
"R_XgF7IVl0ymYTHcl","original","T","T","T","P","P","T","P","P","P","T","T","T","T","P","","","","","","","","","","","","","","","1","5","5","4","4","3","4","1","2","1","3","5","5","4","2","1","2","1","2","2","2","1","2","2","2","2","2","1","2","1","2","1","2","1","2","2","1","2","1","2","3","8","4","8","5","2","5","5","7","6","6","3","5","1"
"R_2QSrADi2zJ4Cgu3","original","T","T","T","P","P","T","P","T","P","P","T","T","T","P","","","","","","","","","","","","","","","1","4","6","7","2","3","7","2","4","1","2","5","7","5","2","2","1","2","2","1","2","1","2","1","2","2","2","1","2","2","2","2","1","2","2","2","1","2","2","1","4","6","5","6","6","4","5","6","5","6","7","1","4","3"
"R_3CUxtkCjg9zYIuY","new","","","","","","","","","","","","","","","T","T","T","P","P","T","P","T","P","P","T","P","T","P","1","2","2","4","5","6","3","7","3","7","5","5","2","4","6","2","1","1","2","1","1","2","2","2","1","1","2","1","2","1","1","1","1","2","2","2","1","1","1","1","5","7","5","7","3","2","4","3","6","6","5","1","6","4"
"R_3lPLEWHo5YeRYRa","new","","","","","","","","","","","","","","","T","T","P","P","P","T","P","T","P","P","T","T","T","P","1","5","4","3","3","2","7","1","2","1","2","5","6","3","1","2","1","1","2","2","1","1","1","1","2","2","1","2","1","2","1","2","1","2","1","1","1","1","1","1","4","8","5","7","3","4","5","6","6","5","5","7","3","3"
"R_3fT1zdVWcu66ogf","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","T","T","P","P","T","T","1","7","5","6","1","3","5","1","2","2","4","5","7","5","1","2","1","1","1","2","2","2","2","1","2","1","1","1","2","2","2","2","1","2","1","2","1","2","1","2","3","7","3","7","6","5","3","7","6","5","7","3","3","5"
"R_2qjU1c54KJHaL25","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","T","T","P","P","P","T","1","2","6","4","3","3","7","2","3","1","2","5","6","5","2","1","2","2","2","1","1","2","1","1","1","1","2","2","2","1","2","2","2","2","1","2","1","2","1","1","5","7","5","7","2","3","5","4","6","5","5","4","6","3"
"R_2Y2GdOtw864c6K0","original","P","P","T","P","P","P","P","P","P","P","P","P","P","P","","","","","","","","","","","","","","","1","4","5","4","5","4","2","1","2","1","4","5","5","5","1","1","2","1","2","2","2","1","1","1","1","1","1","1","2","1","1","1","2","1","1","1","2","1","2","1","6","7","5","7","6","5","6","5","5","3","3","6","4","4"
"R_1gOcEOGYmKpFmZt","new","","","","","","","","","","","","","","","P","P","P","P","P","P","P","T","T","P","T","P","P","P","1","6","7","7","4","2","6","2","5","1","3","5","7","6","3","1","1","1","2","1","1","1","2","2","1","2","2","1","2","2","2","1","1","2","1","1","2","1","1","2","3","5","5","8","2","6","6","5","4","7","5","2","3","1"
