"id","amit_wording","cards_original_1","cards_original_2","cards_original_3","cards_original_4","cards_original_5","cards_original_6","cards_original_7","cards_original_8","cards_original_9","cards_original_10","cards_original_11","cards_original_12","cards_original_13","cards_original_14","cards_new_wording_1","cards_new_wording_2","cards_new_wording_3","cards_new_wording_4","cards_new_wording_5","cards_new_wording_6","cards_new_wording_7","cards_new_wording_8","cards_new_wording_9","cards_new_wording_10","cards_new_wording_11","cards_new_wording_12","cards_new_wording_13","cards_new_wording_14","attention_check","manipulation_check_1","manipulation_check_2","manipulation_check_3","manipulation_check_4","manipulation_check_5","manipulation_check_6","manipulation_check_7","manipulation_check_8","manipulation_check_9","manipulation_check_10","manipulation_check_11","manipulation_check_12","manipulation_check_13","manipulation_check_14","BIF_1","BIF_2","BIF_3","BIF_4","BIF_5","BIF_6","BIF_7","BIF_8","BIF_9","BIF_10","BIF_11","BIF_12","BIF_13","BIF_14","BIF_15","BIF_16","BIF_17","BIF_18","BIF_19","BIF_20","BIF_21","BIF_22","BIF_23","BIF_24","BIF_25","comf_acquaint","comf_close","approp_acquaint","approp_close","TIPI_1","TIPI_2","TIPI_3","TIPI_4","TIPI_5","TIPI_6","TIPI_7","TIPI_8","TIPI_9","TIPI_10"
"R_Cjj3iACNuO33F3X","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","P","T","T","T","P","T","T","1","6","6","4","3","5","7","1","2","1","2","4","5","3","1","2","2","1","2","1","1","1","2","1","1","2","2","2","2","2","1","2","1","2","1","2","1","2","1","1","8","8","8","8","3","5","6","5","6","5","4","1","7","4"
"R_DUEs8kn5Vhhkcdb","new","","","","","","","","","","","","","","","T","P","T","P","P","T","P","T","P","P","T","T","P","P","1","6","3","7","2","3","5","1","4","1","2","4","4","3","1","2","2","1","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","3","3","5","5","5","6","7","6","6","7","7","2","6","1"
"R_3qvODnu2dwrRBLP","original","P","T","P","T","T","P","T","T","T","T","P","P","T","T","","","","","","","","","","","","","","","1","5","5","7","2","3","7","1","4","1","3","6","7","3","2","1","1","1","2","1","2","1","1","2","2","2","2","1","2","1","2","2","1","1","1","1","1","2","1","1","6","8","6","8","5","5","6","2","6","3","6","1","6","2"
"R_1gBdIxC2zu4G7YQ","new","","","","","","","","","","","","","","","P","P","P","P","P","P","P","P","P","P","P","P","P","P","2","6","5","6","3","3","6","1","3","1","3","4","6","5","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","1","1","2","1","2","5","7","3","6","4","4","4","3","5","4","5","2","5","3"
"R_2U2UuQ5LpswAzf6","new","","","","","","","","","","","","","","","P","T","T","T","P","T","T","T","P","P","P","T","P","P","1","4","3","2","5","5","4","7","6","7","5","4","4","5","6","2","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","1","2","1","1","2","1","2","1","7","8","4","8","3","5","3","4","6","4","6","2","7","4"
"R_2ZUnZjc7XOxamzt","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","T","T","P","P","P","T","1","4","5","4","3","2","5","1","4","1","2","3","5","5","1","1","1","2","1","1","1","1","1","1","2","2","2","1","2","1","2","2","2","2","1","2","1","1","1","1","7","8","5","8","2","5","4","5","5","6","6","5","5","1"
"R_3P5NA4MFpTaV3lv","new","","","","","","","","","","","","","","","T","T","T","T","P","T","P","P","P","P","T","T","P","P","1","7","5","5","4","2","7","1","3","1","3","3","5","3","1","2","1","1","2","1","1","2","2","1","1","2","2","1","2","2","2","2","2","1","2","2","1","2","1","1","5","8","5","7","2","3","6","1","5","5","5","3","7","4"
"R_2y1qjd7RQss4uZY","new","","","","","","","","","","","","","","","P","P","P","P","P","P","P","P","P","P","P","P","P","P","1","1","2","4","5","6","4","7","5","7","5","4","4","5","6","2","1","1","2","1","1","2","2","1","1","2","2","1","2","1","2","2","2","2","1","1","2","1","2","1","4","6","5","7","6","6","5","2","4","4","5","2","5","2"
"R_2WSXFIs3CU3sfzc","new","","","","","","","","","","","","","","","P","T","P","P","P","P","P","P","P","T","T","P","P","P","1","5","2","3","6","6","5","7","5","6","5","7","4","5","7","2","2","2","2","2","2","1","2","2","2","2","2","1","2","2","2","1","2","2","1","1","2","2","1","1","4","5","6","6","4","5","6","6","6","6","6","2","4","2"
"R_vCBfzLOct9F5v5T","new","","","","","","","","","","","","","","","T","T","T","P","P","T","P","P","P","P","T","T","P","P","1","7","6","6","4","3","7","1","4","1","4","6","7","4","2","2","2","2","2","2","1","2","2","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","1","1","3","6","4","6","1","7","6","7","5","7","5","2","3","5"
